,OrphaCode,DisorderName,Summary
1164,50810.0,Microlissencephaly-micromelia syndrome,"Microlissencephaly-micromelia syndrome is very frequently (99-80%) associated with 11 pairs of ribs, Adducted thumb, Areflexia, Bilateral single transverse palmar creases, Cerebellar hypoplasia, Coarse facial features, EEG abnormality, Failure to thrive, Fetal pyelectasis, Generalized hypertrichosis, Global developmental delay, Lissencephaly, Long philtrum, Micromelia, Palpebral edema, Polyhydramnios, Respiratory distress, Secondary microcephaly, Seizure, Short neck, and Short nose. Microlissencephaly-micromelia syndrome is frequently (79-30%) associated with Abnormality of calcium-phosphate metabolism, Hypertonia, Hypoparathyroidism, and Hypotonia."
1165,50814.0,Craniolenticulosutural dysplasia,"Craniolenticulosutural dysplasia is very frequently (99-80%) associated with Brittle hair, Carious teeth, Coarse hair, Decreased skull ossification, Delayed eruption of teeth, Frontal bossing, High iliac wings, Hypertelorism, Hypoplasia of teeth, Hypoplasia of the maxilla, Large fontanelles, Long philtrum, Microdontia, Posterior Y-sutural cataract, Posterior wedging of vertebral bodies, Premature loss of teeth, Prominent nasal bridge, Prominent supraorbital ridges, Scoliosis, Short stature, Skeletal dysplasia, Smooth philtrum, Sparse hair, Thin vermilion border, Wide mouth, and Wide nose. Craniolenticulosutural dysplasia is frequently (79-30%) associated with Abnormality of skin pigmentation, Capillary hemangioma, Hyperpigmentation of the skin, Narrow chest, and Pes planus. Craniolenticulosutural dysplasia is occasionally (29-5%) associated with Delayed speech and language development, High palate, and Joint hyperflexibility.Craniolenticulosutural dysplasia is associated with Disease-causing germline mutation(s) (loss of function) in SEC23 homolog A, COPII coat complex component."
1166,50812.0,Zellweger-like syndrome without peroxisomal anomalies,"Zellweger-like syndrome without peroxisomal anomalies is very frequently (99-80%) associated with Anteverted nares, Bilateral single transverse palmar creases, Epicanthus, Frontal bossing, Global developmental delay, High forehead, High palate, Hyporeflexia, Hypotonia, Intellectual disability, severe, Mask-like facies, Microcephaly, Pointed chin, Upslanted palpebral fissure, and Wide nasal bridge. Zellweger-like syndrome without peroxisomal anomalies is frequently (79-30%) associated with Alopecia, Brittle hair, Failure to thrive, Hepatomegaly, Hyperpigmentation of the skin, Intrauterine growth retardation, and Short stature."
1167,49804.0,Lichen amyloidosis,Lichen amyloidosis is very frequently (99-80%) associated with Papule and Pruritus.
1168,48918.0,Focal myositis,"Focal myositis is very frequently (99-80%) associated with Myositis. Focal myositis is frequently (79-30%) associated with Elevated circulating creatine kinase concentration. Focal myositis is occasionally (29-5%) associated with Fever, Limitation of joint mobility, Muscle weakness, Myalgia, and Weight loss."
1169,50809.0,Talo-patello-scaphoid osteolysis,"Talo-patello-scaphoid osteolysis is very frequently (99-80%) associated with Enlarged joints, Osteolysis of patellae, Osteolysis of scaphoids, Osteolysis of talus, Short 4th metacarpal, and Synovitis."
1170,49827.0,Thiamine-responsive megaloblastic anemia syndrome,"Thiamine-responsive megaloblastic anemia syndrome is very frequently (99-80%) associated with Anorexia, Diabetes mellitus, Diarrhea, Headache, Lethargy, Megaloblastic anemia, Pallor, Paresthesia, and Sensorineural hearing impairment. Thiamine-responsive megaloblastic anemia syndrome is frequently (79-30%) associated with Optic atrophy and Thrombocytopenia. Thiamine-responsive megaloblastic anemia syndrome is occasionally (29-5%) associated with Atrial septal defect, Cardiac arrest, Congestive heart failure, Paroxysmal atrial tachycardia, Retinal dystrophy, Short stature, Stroke, Ventricular septal defect, and Visual loss.Thiamine-responsive megaloblastic anemia syndrome is associated with Disease-causing germline mutation(s) in solute carrier family 19 member 2 (ThT1; Thiamine transporter 1; THTR1; thiamine-responsive megaloblastic anaemia)."
1171,50945.0,Blomstrand lethal chondrodysplasia,"Blomstrand lethal chondrodysplasia is very frequently (99-80%) associated with Abnormality of epiphysis morphology, Accelerated skeletal maturation, Aplastic clavicles, Broad clavicles, Cataract, Depressed nasal bridge, Distal shortening of limbs, Flared metaphysis, Increased bone mineral density, Lethal skeletal dysplasia, Low-set ears, Malar flattening, Mesomelia, Metaphyseal cupping, Micrognathia, Narrow chest, Neonatal short-limb short stature, Platyspondyly, Polyhydramnios, Premature birth, Proptosis, Protuberant abdomen, Pulmonary hypoplasia, Rhizomelia, Short nose, Short ribs, Short thorax, and Telecanthus. Blomstrand lethal chondrodysplasia is frequently (79-30%) associated with Anteverted nares, Bowing of the long bones, Hydrops fetalis, Long philtrum, Natal tooth, Protruding tongue, Short metacarpal, and Synostosis of joints. Blomstrand lethal chondrodysplasia is occasionally (29-5%) associated with Coarctation of aorta.Blomstrand lethal chondrodysplasia is associated with Disease-causing germline mutation(s) in parathyroid hormone 1 receptor."
1172,50944.0,Schöpf-Schulz-Passarge syndrome,"Schöpf-Schulz-Passarge syndrome is very frequently (99-80%) associated with Ectodermal dysplasia, Facial telangiectasia, Palmoplantar keratoderma, and Sparse hair. Schöpf-Schulz-Passarge syndrome is frequently (79-30%) associated with Alopecia, Aplasia/Hypoplasia of the eyebrow, Hypodontia, and Premature loss of primary teeth. Schöpf-Schulz-Passarge syndrome is occasionally (29-5%) associated with Basal cell carcinoma, Bird-like facies, Ovarian neoplasm, and Squamous cell carcinoma.Schöpf-Schulz-Passarge syndrome is associated with Disease-causing germline mutation(s) in Wnt family member 10A."
1173,52047.0,Braddock syndrome,"Braddock syndrome is very frequently (99-80%) associated with Blue sclerae, Hemivertebrae, Intrauterine growth retardation, Laryngeal web, Missing ribs, Overfolded helix, Pectus excavatum, Posteriorly rotated ears, Pulmonary arterial hypertension, and Pulmonary fibrosis. Braddock syndrome is frequently (79-30%) associated with Abnormal hair pattern, Blepharophimosis, Congenital muscular torticollis, Epicanthus, Failure to thrive, Hypotelorism, Micrognathia, Neonatal respiratory distress, Preaxial hand polydactyly, Scoliosis, Short neck, Short stature, Unilateral renal agenesis, and Wide intermamillary distance."
1174,52022.0,Potocki-Shaffer syndrome,"Potocki-Shaffer syndrome is very frequently (99-80%) associated with Brachycephaly, Broad nasal tip, Decreased skull ossification, Depressed nasal tip, Epicanthus, Exostoses, Global developmental delay, Micrognathia, Prominent nasal bridge, and Underdeveloped nasal alae. Potocki-Shaffer syndrome is frequently (79-30%) associated with Downturned corners of mouth, Micropenis, Nystagmus, Parietal foramina, Seizure, Short philtrum, and Strabismus. Potocki-Shaffer syndrome is occasionally (29-5%) associated with Anemia, Delayed puberty, Hypertension, Hypothyroidism, Intellectual disability, and Nephroblastoma.Potocki-Shaffer syndrome is associated with Role in the phenotype of ALX homeobox 4 (FPP; KIAA1788; PFM), exostosin glycosyltransferase 2 (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase; N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase; SOTV), and PHD finger protein 21A (BHC80; BM-006; KIAA1696)."
1175,50815.0,Branchiogenic deafness syndrome,"Branchiogenic deafness syndrome is very frequently (99-80%) associated with Abnormal pinna morphology, Abnormality of the middle ear ossicles, Aplasia/Hypoplasia of the inner ear, Astigmatism, Atresia of the external auditory canal, Branchial cyst, Branchial fistula, Conductive hearing impairment, Mixed hearing impairment, Osteolytic defects of the distal phalanges of the hand, Overfolded helix, Preauricular pit, Preauricular skin tag, Sensorineural hearing impairment, Short distal phalanx of finger, Short stature, Strabismus, and Underdeveloped tragus. Branchiogenic deafness syndrome is frequently (79-30%) associated with Cleft palate, Reticulated skin pigmentation, and Specific learning disability."
1176,50943.0,Keratolytic winter erythema,Keratolytic winter erythema is very frequently (99-80%) associated with Erythema. Keratolytic winter erythema is occasionally (29-5%) associated with Hyperhidrosis and Pustule.Keratolytic winter erythema is associated with Role in the phenotype of cathepsin B.
1177,50942.0,Striate palmoplantar keratoderma,"Striate palmoplantar keratoderma is very frequently (99-80%) associated with Palmoplantar keratoderma. Striate palmoplantar keratoderma is frequently (79-30%) associated with Abnormality of the hair and Abnormality of the nail.Striate palmoplantar keratoderma is associated with Disease-causing germline mutation(s) in desmoplakin (DPI; DPII; KPPS2; PPKS2), keratin 1 (KRT1A), and desmoglein 1 (CDHF4)."
1178,841.0,Sebocystomatosis,Sebocystomatosis is very frequently (99-80%) associated with Adenoma sebaceum and Steatocystoma multiplex. Sebocystomatosis is occasionally (29-5%) associated with Nephrolithiasis.Sebocystomatosis is associated with Disease-causing germline mutation(s) in keratin 17.
1179,530.0,Lipoid proteinosis,"Lipoid proteinosis is very frequently (99-80%) associated with Abnormal blistering of the skin, Abnormal oral mucosa morphology, Abnormality of the gingiva, Acne, Hoarse voice, Papule, Pustule, Scarring, Subcutaneous nodule, Thick lower lip vermilion, Thickened skin, and Tongue nodules. Lipoid proteinosis is frequently (79-30%) associated with Alopecia of scalp, Dysphagia, Dystonia, High palate, Hyperkeratosis, Microglossia, Recurrent respiratory infections, and Verrucae. Lipoid proteinosis is occasionally (29-5%) associated with Cerebral calcification, Nasal polyposis, and Seizure.Lipoid proteinosis is associated with Disease-causing germline mutation(s) (loss of function) in extracellular matrix protein 1."
1180,735.0,Porokeratosis of Mibelli,"Porokeratosis of Mibelli is very frequently (99-80%) associated with Aplasia/Hypoplasia of the skin, Hyperkeratosis, and Porokeratosis. Porokeratosis of Mibelli is frequently (79-30%) associated with Cutaneous photosensitivity and Pruritus.Porokeratosis of Mibelli is associated with Disease-causing germline mutation(s) in mevalonate kinase (LH receptor mRNA-binding protein; LRBP; MK; mevalonic aciduria) and phosphomevalonate kinase (HUMPMKI; PMK; PMKA)."
1181,867.0,Familial multiple trichoepithelioma,Familial multiple trichoepithelioma is very frequently (99-80%) associated with Papule and Subcutaneous nodule. Familial multiple trichoepithelioma is frequently (79-30%) associated with Telangiectasia of the skin. Familial multiple trichoepithelioma is occasionally (29-5%) associated with Basal cell carcinoma.Familial multiple trichoepithelioma is associated with Disease-causing germline mutation(s) in CYLD lysine 63 deubiquitinase (KIAA0849; USPL2; ubiquitin specific peptidase like 2).
1182,703.0,Bullous pemphigoid,"Bullous pemphigoid is very frequently (99-80%) associated with Abnormal blistering of the skin, Autoimmunity, Diabetes mellitus, Eczematoid dermatitis, Erythema, Macule, Recurrent infections, Urticaria, and Weight loss. Bullous pemphigoid is frequently (79-30%) associated with Anti-BP180 antibody positivity, Anti-BP230 antibody positivity, Elevated circulating D-dimer concentration, Pruritus, and Psoriasiform dermatitis. Bullous pemphigoid is occasionally (29-5%) associated with Oral mucosal blisters.Bullous pemphigoid is associated with Candidate gene tested in major histocompatibility complex, class II, DR beta 1; Major susceptibility factor in major histocompatibility complex, class II, DQ beta 1 (CELIAC1; IDDM1)."
1183,728.0,Relapsing polychondritis,"Relapsing polychondritis is very frequently (99-80%) associated with Arthritis, Cataract, Chondritis, Chondritis of pinna, and Large vessel vasculitis. Relapsing polychondritis is frequently (79-30%) associated with Abnormal aortic valve morphology, Ataxia, Atelectasis, Cough, Dyspnea, Hoarse voice, Limitation of joint mobility, Nausea and vomiting, Pericarditis, Tinnitus, Tracheobronchomalacia, Vertigo, and Wheezing. Relapsing polychondritis is occasionally (29-5%) associated with Abnormal mitral valve physiology, Abnormal pattern of respiration, Abnormality of the endocardium, Alopecia, Anteriorly placed anus, Antinuclear antibody positivity, Arthralgia, Biparietal narrowing, Conjunctivitis, Cranial nerve paralysis, Dilatation, Episcleritis, Erythema, Gangrene, Glomerulopathy, Hematuria, Hepatitis, Inflammatory abnormality of the eye, Keratitis, Laryngomalacia, Loss of voice, Macule, Myocarditis, Nasal chondritis, Proptosis, Proteinuria, Purpura, Recurrent aphthous stomatitis, Renal insufficiency, Rheumatoid factor positive, Scleritis, Sensorineural hearing impairment, Thrombophlebitis, Uveitis, and Venous thrombosis."
1184,722.0,Hypoplasminogenemia,"Hypoplasminogenemia is very frequently (99-80%) associated with Abnormality of the eye, Abnormality of vision, and Decreased level of plasminogen. Hypoplasminogenemia is frequently (79-30%) associated with Gingival overgrowth and Gingivitis. Hypoplasminogenemia is occasionally (29-5%) associated with Abnormality of the fallopian tube, Abnormality of the middle ear, Abnormality of the ovary, Abnormality of the respiratory system, Abnormality of the skin, Cervicitis, Dandy-Walker malformation, Duodenal ulcer, Hydrocephalus, Nephrolithiasis, and Periodontitis.Hypoplasminogenemia is associated with Disease-causing germline mutation(s) in plasminogen."
1185,873.0,Desmoid tumor,"Desmoid tumor is very frequently (99-80%) associated with Abnormality of the abdominal wall, Abnormality of the musculature, Desmoid tumors, Fibroma, and Subcutaneous nodule. Desmoid tumor is frequently (79-30%) associated with Abdominal pain, Abnormality of retinal pigmentation, Intestinal polyposis, Malabsorption, and Myalgia. Desmoid tumor is occasionally (29-5%) associated with Abnormality of the upper urinary tract, Arthralgia, Chest pain, Gastrointestinal hemorrhage, Hydronephrosis, Intestinal obstruction, Limitation of joint mobility, Neoplasm of the skin, Osteolysis, and Sepsis.Desmoid tumor is associated with Disease-causing somatic mutation(s) in catenin beta 1 (armadillo; beta-catenin) and APC regulator of WNT signaling pathway (DP2; DP2.5; DP3; PPP1R46; protein phosphatase 1; regulatory subunit 46)."
1186,588.0,Muscle-eye-brain disease,"Muscle-eye-brain disease is very frequently (99-80%) associated with Abnormality of speech or vocalization, Cognitive impairment, EEG abnormality, EMG abnormality, Elevated circulating creatine kinase concentration, Gait disturbance, Glaucoma, Hydrocephalus, Myopathy, Myopia, Optic atrophy, Strabismus, and Visual impairment. Muscle-eye-brain disease is frequently (79-30%) associated with Abnormality of movement, Abnormality of the voice, Cataract, Hypertonia, Hypotonia, and Seizure. Muscle-eye-brain disease is occasionally (29-5%) associated with Aplasia/Hypoplasia of the cerebellum, Hemiplegia/hemiparesis, Holoprosencephaly, and Meningocele.Muscle-eye-brain disease is associated with Candidate gene tested in LARGE xylosyl- and glucuronyltransferase 1 (like-acetylglucosaminyltransferase; KIAA0609); Disease-causing germline mutation(s) (loss of function) in protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) (FLJ20277; LGMD2O; MGAT1.2; protein O-mannose beta-1; 2-N-acetylglucosaminyltransferase) and beta-1,3-N-acetylgalactosaminyltransferase 2 (MGC39558); Disease-causing germline mutation(s) in CDP-L-ribitol pyrophosphorylase A (4-diphosphocytidyl-2C-methyl-D-erythritol synthase homolog (Arabidopsis); IspD; Nip; Notch1-induced protein; hCG_1745121; D-ribitol-5-phosphate cytidylyltransferase), protein O-mannosyltransferase 1 (LGMD2K; dolichyl-phosphate-mannose-protein mannosyltransferase), protein O-mannosyltransferase 2 (Dolichyl-phosphate-mannose--protein mannosyltransferase; LGMD2N), fukutin (LGMD2M; Ribitol-5-phosphate transferase), fukutin related protein (LGMD2I; MDC1C; Ribitol 5-phosphate transferase; FKTR), and GDP-mannose pyrophosphorylase B (KIAA1851; mannose-1-phosphate guanyltransferase beta)."
1187,603.0,"Distal myopathy, Welander type","Distal myopathy, Welander type is very frequently (99-80%) associated with Distal upper limb muscle weakness, EMG: myopathic abnormalities, Foot dorsiflexor weakness, Intrinsic hand muscle atrophy, Myopathy, and Weakness of long finger extensor muscles. Distal myopathy, Welander type is frequently (79-30%) associated with Clumsiness, Difficulty walking, Distal upper limb amyotrophy, Mildly elevated creatine kinase, Rimmed vacuoles, and Steppage gait. Distal myopathy, Welander type is not associated (0%) associated with Cardiomyopathy.Distal myopathy, Welander type is associated with Disease-causing germline mutation(s) (gain of function) in TIA1 cytotoxic granule associated RNA binding protein (Nucleolysin TIA-1 isoform p40; T-cell-restricted intracellular antigen-1; TIA-1); Modifying germline mutation in sequestosome 1 (A170; p60; p62; p62B; autophagy receptor p62) and TIA1 cytotoxic granule associated RNA binding protein (Nucleolysin TIA-1 isoform p40; T-cell-restricted intracellular antigen-1; TIA-1)."
1188,617.0,Congenital primary megaureter,"Congenital primary megaureter is very frequently (99-80%) associated with Abnormality of the upper urinary tract, Congenital megaureter, and Hydronephrosis. Congenital primary megaureter is frequently (79-30%) associated with Abdominal pain, Fever, Microscopic hematuria, Nephrolithiasis, Recurrent urinary tract infections, and Vesicoureteral reflux. Congenital primary megaureter is occasionally (29-5%) associated with Abnormality of the penis."
1189,272.0,"Congenital muscular dystrophy, Fukuyama type","Congenital muscular dystrophy, Fukuyama type is very frequently (99-80%) associated with Delayed speech and language development, EMG abnormality, Flexion contracture, Gait disturbance, Global developmental delay, Hypoglycosylation of alpha-dystroglycan, Hypotonia, Intellectual disability, severe, Mask-like facies, Muscular dystrophy, Myopathy, Plagiocephaly, and Type II lissencephaly. Congenital muscular dystrophy, Fukuyama type is frequently (79-30%) associated with Brachycephaly, Camptodactyly of finger, EEG abnormality, Hydrocephalus, Myopia, Pectus excavatum, Seizure, Ventriculomegaly, and Weak cry. Congenital muscular dystrophy, Fukuyama type is occasionally (29-5%) associated with Aplasia/Hypoplasia of the corpus callosum, Cataract, Dilated cardiomyopathy, Dolichocephaly, Glaucoma, Intrauterine growth retardation, Optic atrophy, Retinal dysplasia, and Visual impairment.Congenital muscular dystrophy, Fukuyama type is associated with Disease-causing germline mutation(s) in fukutin (LGMD2M; Ribitol-5-phosphate transferase)."
1190,38.0,Acrokeratoelastoidosis of Costa,"Acrokeratoelastoidosis of Costa is very frequently (99-80%) associated with Epidermal acanthosis, Fragmented elastic fibers in the dermis, Hyperkeratotic papule, and Palmoplantar hyperkeratosis. Acrokeratoelastoidosis of Costa is frequently (79-30%) associated with Granulomatosis, Hypergranulosis, Orthokeratosis, and Yellow papule. Acrokeratoelastoidosis of Costa is occasionally (29-5%) associated with Palmar hyperhidrosis, Piezogenic pedal papules, and Skin plaque. Acrokeratoelastoidosis of Costa is very rarely (<4-1%) associated with Abnormality of the lower limb.Acrokeratoelastoidosis of Costa is associated with Disease-causing germline mutation(s) in coiled-coil domain containing 91."
1191,241.0,Dyschromatosis universalis hereditaria,"Dyschromatosis universalis hereditaria is very frequently (99-80%) associated with Hypermelanotic macule, Hypopigmented skin patches, Macule, and Spotty hypopigmentation. Dyschromatosis universalis hereditaria is frequently (79-30%) associated with Cutaneous photosensitivity, Freckling, Hearing impairment, and Multiple cafe-au-lait spots. Dyschromatosis universalis hereditaria is occasionally (29-5%) associated with Short stature.Dyschromatosis universalis hereditaria is associated with Disease-causing germline mutation(s) in ATP binding cassette subfamily B member 6 (LAN blood group) (umat; ATP-binding cassette half-transporter; EST45597; MTABC3)."
1192,211.0,Familial cylindromatosis,Familial cylindromatosis is very frequently (99-80%) associated with Subcutaneous nodule and Telangiectasia of the skin.Familial cylindromatosis is associated with Disease-causing germline mutation(s) in CYLD lysine 63 deubiquitinase (KIAA0849; USPL2; ubiquitin specific peptidase like 2).
1193,122.0,Birt-Hogg-Dubé syndrome,"Birt-Hogg-Dubé syndrome is very frequently (99-80%) associated with Emphysema, Papule, and Skin tags. Birt-Hogg-Dubé syndrome is frequently (79-30%) associated with Abnormality of retinal pigmentation, Multiple lipomas, and Pulmonary sequestration. Birt-Hogg-Dubé syndrome is occasionally (29-5%) associated with Medullary thyroid carcinoma, Parathyroid adenoma, Pneumothorax, and Renal cell carcinoma.Birt-Hogg-Dubé syndrome is associated with Disease-causing germline mutation(s) in PR/SET domain 10 (KIAA1231; PFM7; MGC131802; PRDM zinc finger transcription factor; PR-domain family member 7; tristanin) and folliculin (BHD; MGC17998; MGC23445; DENND8B)."
1194,41.0,Dyschromatosis symmetrica hereditaria,"Dyschromatosis symmetrica hereditaria is very frequently (99-80%) associated with Macular hyperpigmentation, Macular hypopigmentation, and Macule. Dyschromatosis symmetrica hereditaria is frequently (79-30%) associated with Torsion dystonia.Dyschromatosis symmetrica hereditaria is associated with Disease-causing germline mutation(s) in adenosine deaminase RNA specific (ADAR1; DRADA; Double-stranded RNA-specific adenosine deaminase)."
1195,454.0,Acquired ichthyosis,"Acquired ichthyosis is very frequently (99-80%) associated with Dry skin, Ichthyosis, and Pruritus. Acquired ichthyosis is frequently (79-30%) associated with Erythema, Hyperkeratosis, Immunologic hypersensitivity, Palmoplantar keratoderma, Papule, and Recurrent skin infections. Acquired ichthyosis is occasionally (29-5%) associated with Autoimmunity, Lymphoma, Multiple myeloma, Neoplasm, Renal insufficiency, and Sarcoma."
1196,409.0,Hyperkeratosis lenticularis perstans,"Hyperkeratosis lenticularis perstans is very frequently (99-80%) associated with Hyperkeratosis lenticularis perstans and Papule. Hyperkeratosis lenticularis perstans is frequently (79-30%) associated with Pruritus and Skin ulcer. Hyperkeratosis lenticularis perstans is occasionally (29-5%) associated with Aplasia/Hypoplasia of the skin, Basal cell carcinoma, and Squamous cell carcinoma."
1197,384.0,Huriez syndrome,"Huriez syndrome is very frequently (99-80%) associated with Abnormality of the nail, Aplasia/Hypoplasia of the skin, Dry skin, Lack of skin elasticity, Palmoplantar keratoderma, Sclerodactyly, and Small nail.Huriez syndrome is associated with Disease-causing germline mutation(s) in SNF2 related chromatin remodeling ATPase with DExD box 1 (DKFZP762K2015; ETL1; KIAA1122)."
1198,316.0,Progressive symmetric erythrokeratodermia,"Progressive symmetric erythrokeratodermia is very frequently (99-80%) associated with Erythema, Palmoplantar keratoderma, and Skin plaque.Progressive symmetric erythrokeratodermia is associated with Candidate gene tested in loricrin cornified envelope precursor protein; Disease-causing germline mutation(s) (gain of function) in transient receptor potential cation channel subfamily M member 4 (FLJ20041); Disease-causing germline mutation(s) (loss of function) in keratin 83 (Hb-3; hard keratin type II) and 3-ketodihydrosphingosine reductase (3-dehydrosphinganine reductase; DHSR; SDR35C1; short chain dehydrogenase; reductase family 35C; member 1)."
1199,523.0,Hereditary leiomyomatosis and renal cell cancer,"Hereditary leiomyomatosis and renal cell cancer is very frequently (99-80%) associated with Abnormality of the musculature, Cutaneous leiomyoma, and Multiple cutaneous leiomyomas. Hereditary leiomyomatosis and renal cell cancer is frequently (79-30%) associated with Pruritus. Hereditary leiomyomatosis and renal cell cancer is occasionally (29-5%) associated with Barrett esophagus, Cataract, Esophageal neoplasm, Papillary renal cell carcinoma type 2, Uterine leiomyoma, Uterine leiomyosarcoma, and Vaginal neoplasm.Hereditary leiomyomatosis and renal cell cancer is associated with Disease-causing germline mutation(s) in fumarate hydratase (fumarase)."
1200,314.0,Erythroderma desquamativum,"Erythroderma desquamativum is very frequently (99-80%) associated with Abnormality of immune system physiology, Diarrhea, Failure to thrive, and Seborrheic dermatitis."
1201,493.0,Familial keratoacanthoma,"Familial keratoacanthoma is very frequently (99-80%) associated with Adenoma sebaceum, Hyperkeratosis, Papule, Skin ulcer, and Subcutaneous nodule. Familial keratoacanthoma is frequently (79-30%) associated with Papilloma. Familial keratoacanthoma is occasionally (29-5%) associated with Neoplasm."
1202,33314.0,Jessner lymphocytic infiltration of the skin,"Jessner lymphocytic infiltration of the skin is very frequently (99-80%) associated with Erythema, Papule, and Skin plaque. Jessner lymphocytic infiltration of the skin is frequently (79-30%) associated with Abnormal lymphocyte morphology, Cutaneous photosensitivity, and Pruritus."
1203,33355.0,Reticular dysgenesis,"Reticular dysgenesis is very frequently (99-80%) associated with Abnormality of mitochondrial metabolism, Abnormality of neutrophils, Anemia, Aplasia/Hypoplasia of the thymus, Cellular immunodeficiency, Chronic otitis media, Decreased circulating antibody level, Diarrhea, Hearing impairment, Leukopenia, Recurrent respiratory infections, Sepsis, and Severe combined immunodeficiency. Reticular dysgenesis is frequently (79-30%) associated with Failure to thrive, Fever, Malabsorption, and Weight loss. Reticular dysgenesis is occasionally (29-5%) associated with Dehydration, Skin rash, and Skin ulcer.Reticular dysgenesis is associated with Disease-causing germline mutation(s) (loss of function) in adenylate kinase 2."
1204,33408.0,Bullous lichen planus,"Bullous lichen planus is very frequently (99-80%) associated with Abnormal blistering of the skin, Breast aplasia, Lichenification, and Papule. Bullous lichen planus is occasionally (29-5%) associated with Pruritus."
1205,33574.0,Glutamate-cysteine ligase deficiency,"Glutamate-cysteine ligase deficiency is obligately (100%) associated with Hemolytic anemia. Glutamate-cysteine ligase deficiency is very frequently (99-80%) associated with Aminoaciduria, Myopathy, Peripheral neuropathy, and Spinocerebellar tract degeneration. Glutamate-cysteine ligase deficiency is occasionally (29-5%) associated with Ataxia, Dysarthria, Dyslexia, Global developmental delay, Hepatosplenomegaly, Hyperreflexia, Intellectual disability, Jaundice, Psychosis, and Reticulocytosis.Glutamate-cysteine ligase deficiency is associated with Disease-causing germline mutation(s) in glutamate-cysteine ligase catalytic subunit (GCS)."
1206,33577.0,Nodular non-suppurative panniculitis,"Nodular non-suppurative panniculitis is very frequently (99-80%) associated with Abdominal pain, Aplasia/Hypoplasia of the skin, Arthralgia, Edema, Erythema, Fever, Myalgia, Nausea and vomiting, Panniculitis, Subcutaneous nodule, and Weight loss. Nodular non-suppurative panniculitis is occasionally (29-5%) associated with Autoimmunity, Hepatomegaly, Inflammatory abnormality of the eye, and Splenomegaly."
1207,34217.0,Naxos disease,"Naxos disease is very frequently (99-80%) associated with Abnormality of hair texture, Arrhythmia, Cardiomyopathy, Palmoplantar keratoderma, Paroxysmal ventricular tachycardia, Vertigo, and Woolly hair. Naxos disease is frequently (79-30%) associated with Cleft upper lip, Congestive heart failure, Curly hair, Hyperhidrosis, and Sparse scalp hair. Naxos disease is occasionally (29-5%) associated with Acanthosis nigricans and Sudden cardiac death.Naxos disease is associated with Disease-causing germline mutation(s) in junction plakoglobin (DP3; DPIII; PDGB; PKGB; PG; desmosomal protein 3)."
1208,35093.0,Non-syndromic sagittal craniosynostosis,"Non-syndromic sagittal craniosynostosis is very frequently (99-80%) associated with Dolichocephaly. Non-syndromic sagittal craniosynostosis is occasionally (29-5%) associated with Frontal bossing, Increased intracranial pressure, and Prominent occiput.Non-syndromic sagittal craniosynostosis is associated with Disease-causing germline mutation(s) in twist family bHLH transcription factor 1 (SCS; Saethre-Chotzen syndrome; bHLHa38; BPES2; CRS1; H-twist); Major susceptibility factor in ALX homeobox 4 (FPP; KIAA1788; PFM)."
1209,35099.0,Non-syndromic bicoronal craniosynostosis,"Non-syndromic bicoronal craniosynostosis is very frequently (99-80%) associated with Brachycephaly and Broad forehead. Non-syndromic bicoronal craniosynostosis is frequently (79-30%) associated with Hearing impairment, Increased intracranial pressure, Proptosis, and Underdeveloped supraorbital ridges. Non-syndromic bicoronal craniosynostosis is occasionally (29-5%) associated with Brachydactyly, Hypertelorism, Intellectual disability, Metacarpal synostosis, and Midface retrusion.Non-syndromic bicoronal craniosynostosis is associated with Disease-causing germline mutation(s) (gain of function) in Zic family member 1 (ZIC; ZNF201); Disease-causing germline mutation(s) (loss of function) in transcription factor 12 (p64; HEB; HTF4; Helix-loop-helix transcription factor 4; HsT17266; bHLHb20); Disease-causing germline mutation(s) in fibroblast growth factor receptor 3 (CD333; CEK2; JTK4) and twist family bHLH transcription factor 1 (SCS; Saethre-Chotzen syndrome; bHLHa38; BPES2; CRS1; H-twist)."
1210,35612.0,Nanophthalmos,"Nanophthalmos is very frequently (99-80%) associated with Abnormal choroid morphology, Glaucoma, High hypermetropia, Microphthalmia, and Strabismus. Nanophthalmos is occasionally (29-5%) associated with Abnormality of retinal pigmentation.Nanophthalmos is associated with Candidate gene tested in SIX homeobox 6 (Six9); Disease-causing germline mutation(s) in membrane frizzled-related protein (C1q and TNF related 5; C1QTNF5; FLJ30570; NNO2; membrane-type frizzled-related protein; rd6), transmembrane protein 98 (DKFZP564K1964), orthodenticle homeobox 2, retina and anterior neural fold homeobox (RX; retinal homeobox protein Rx; RAX1), aldehyde dehydrogenase 1 family member A3 (RALDH3; Retinaldehyde dehydrogenase 3), serine protease 56, SRY-box transcription factor 2, bestrophin 1 (BEST; BMD; Best disease; RP50), and crumbs cell polarity complex component 1 (LCA8)."
